Cents,Name(s),2,3,5,7,11,13,Numerator,Denominator,Tenney Height,Superparticular,Color Notation,FJS name,Tinas,Tredeks,Moria,Quartertones,Edo step 1,Edo step 2,Edo step 3,Edo step 4,Edo step 5,Edo step 6,Edo step 7,Edo step 8
1.29360068,,-9,-4,0,3,2,,41503,41472,30.68,,,,9.2,0,,,,,,,,,,
1.34464787,triaphonisma,,,,,,,1288,1287,20.66,Yes,,,,,,,,,,,,,,
1.38131739,,-11,11,-1,1,-2,,1240029,1239040,40.48,,,,9.8,1,,,,,,,,,,
1.38429000,"hemithirds comma, lunama, semithirds comma",38,-2,-15,,,,106346,106261,76.00,,,,,,,,,,,,,,,
1.38429030,semithirds comma,,,,,,,274877906944,274658203125,76.00,,,,,,,,,,,,,,,
1.41897977,cantonisma,,,,,,,10985,10976,26.85,,,,,,,,,,,,,,,
1.41898000,cantonisma comma,-5,0,1,-3,0,3,10985,10976,26.85,,,,,,,,,,,,,,,
1.42429794,Eratosthenes' comma,,,,,,,1216,1215,20.49,Yes,,,,,,,,,,,,,,
1.43126000,septendecima comma,-52,-17,34,,,,147631,147509,157.89,,,,,,,,,,,,,,,
1.43188789,,14,-1,-2,-4,1,,180224,180075,34.92,,,,10.2,0,,,,,,,,,,
1.45163185,,-8,-2,9,-1,-2,,1953125,1951488,41.79,,,,10.3,1,,,,,,,,,,
1.45460476,,41,-15,-5,-2,0,,2199023255552,2197176384375,82.00,,,,10.4,-1,,,,,,,,,,
1.48999216,,-34,-1,9,4,1,,51583984375,51539607552,71.17,,,,10.6,1,,,,,,,,,,
1.55796492,,-14,15,-3,-1,0,,14348907,14336000,47.55,,,,11.1,1,,,,,,,,,,
1.58068178,,13,1,-6,1,-1,,172032,171875,34.78,,,,11.2,0,,,,,,,,,,
1.60339864,,40,-13,-9,3,-2,,377132488327168,376783365234375,96.84,,,,11.4,-1,,,,,,,,,,
1.62827938,,-11,2,7,-3,0,,703125,702464,38.85,,,,11.6,1,,,,,,,,,,
1.62828000,meter comma,-11,2,7,-3,,,51059,51011,38.85,,,,,,,,,,,,,,,
1.63125228,,38,-11,-7,-4,2,,33260226740224,33228902109375,89.84,,,,11.6,-1,,,,,,,,,,
